ward_name,lamp_type,count_lamps,mean_wattage,date
Belsize,Cosmopolis,32,82.5,2020-12-04
Belsize,Generic LED Lighting,345,48.608695652173914,2020-12-04
Belsize,High Pressure Sodium,7,85.71428571428571,2020-12-04
Belsize,LED Belisha Beacons (Undimmed),5,15.0,2020-12-04
Belsize,LED Street Lights,2,72.5,2020-12-04
Belsize,Light Emitting Diodes (LEDs),9,6.111111111111111,2020-12-04
Bloomsbury,Cosmopolis,532,79.53947368421052,2020-12-04
Bloomsbury,Generic LED Lighting,130,58.04615384615385,2020-12-04
Bloomsbury,High Pressure Mercury (Blended),3,100.0,2020-12-04
Bloomsbury,High Pressure Mercury (Ceramic Discharge Metal Halide),6,111.66666666666667,2020-12-04
Bloomsbury,High Pressure Mercury - Standard Gear,12,125.0,2020-12-04
Bloomsbury,High Pressure Sodium,48,227.5,2020-12-04
Bloomsbury,LED Belisha Beacons (Undimmed),52,8.25,2020-12-04
Bloomsbury,LED Street Lights,55,88.72727272727273,2020-12-04
Bloomsbury,Light Emitting Diodes (LEDs),189,6.0476190476190474,2020-12-04
Camden Town with Primrose Hill,Cosmopolis,244,78.48360655737704,2020-12-04
Camden Town with Primrose Hill,Generic LED Lighting,246,69.46747967479675,2020-12-04
Camden Town with Primrose Hill,High Pressure Mercury (Blended),3,160.0,2020-12-04
Camden Town with Primrose Hill,High Pressure Mercury (Ceramic Discharge Metal Halide),9,127.77777777777777,2020-12-04
Camden Town with Primrose Hill,High Pressure Mercury - Standard Gear,15,125.0,2020-12-04
Camden Town with Primrose Hill,High Pressure Sodium,4,112.5,2020-12-04
Camden Town with Primrose Hill,LED Belisha Beacons (Undimmed),30,11.7,2020-12-04
Camden Town with Primrose Hill,LED Street Lights,100,104.0,2020-12-04
Camden Town with Primrose Hill,Light Emitting Diodes (LEDs),85,6.905882352941177,2020-12-04
Camden Town with Primrose Hill,Low Pressure Mercury (Fluorescent Tube) - Single Lamp,2,20.0,2020-12-04
Camden Town with Primrose Hill,Low Pressure Sodium,3,35.0,2020-12-04
Cantelowes,Cosmopolis,325,84.43076923076923,2020-12-04
Cantelowes,Generic LED Lighting,59,76.54237288135593,2020-12-04
Cantelowes,LED Belisha Beacons (Undimmed),21,9.272727272727273,2020-12-04
Cantelowes,LED Street Lights,35,76.11428571428571,2020-12-04
Cantelowes,Light Emitting Diodes (LEDs),50,6.06,2020-12-04
Fortune Green,Cosmopolis,11,81.81818181818181,2020-12-04
Fortune Green,Generic LED Lighting,406,46.206896551724135,2020-12-04
Fortune Green,High Pressure Sodium,2,70.0,2020-12-04
Fortune Green,LED Belisha Beacons (Undimmed),19,9.789473684210526,2020-12-04
Fortune Green,Light Emitting Diodes (LEDs),20,6.1,2020-12-04
Frognal and Fitzjohns,Cosmopolis,39,61.53846153846154,2020-12-04
Frognal and Fitzjohns,Generic LED Lighting,432,46.219907407407405,2020-12-04
Frognal and Fitzjohns,High Pressure Mercury (Blended),3,140.0,2020-12-04
Frognal and Fitzjohns,High Pressure Mercury - Standard Gear,33,125.0,2020-12-04
Frognal and Fitzjohns,High Pressure Sodium,39,94.61538461538461,2020-12-04
Frognal and Fitzjohns,LED Belisha Beacons (Undimmed),24,9.75,2020-12-04
Frognal and Fitzjohns,Light Emitting Diodes (LEDs),30,6.033333333333333,2020-12-04
Gospel Oak,Cosmopolis,9,66.66666666666667,2020-12-04
Gospel Oak,Generic LED Lighting,352,51.08522727272727,2020-12-04
Gospel Oak,High Pressure Mercury (Ceramic Discharge Metal Halide),22,57.27272727272727,2020-12-04
Gospel Oak,High Pressure Mercury - Standard Gear,1,125.0,2020-12-04
Gospel Oak,High Pressure Sodium,1,250.0,2020-12-04
