,Ward Code,Ward Name,Outcome Year,Population
0,E05000128,Belsize,2015,13959.21
1,E05000129,Bloomsbury,2015,11530.05
2,E05000130,Camden Town with Primrose Hill,2015,13046.77
3,E05000131,Cantelowes,2015,12995.7
4,E05000132,Fortune Green,2015,12652.529999999999
5,E05000133,Frognal and Fitzjohns,2015,13189.08
6,E05000134,Gospel Oak,2015,12253.61
7,E05000135,Hampstead Town,2015,12143.130000000001
8,E05000136,Haverstock,2015,13545.17
9,E05000137,Highgate,2015,11657.130000000001
10,E05000138,Holborn and Covent Garden,2015,14128.26
11,E05000139,Kentish Town,2015,14437.1
12,E05000140,Kilburn,2015,13062.44
13,E05000141,King's Cross,2015,11915.59
14,E05000142,Regent's Park,2015,13733.970000000001
15,E05000143,St Pancras and Somers Town,2015,15554.41
16,E05000144,Swiss Cottage,2015,13948.04
17,E05000145,West Hampstead,2015,13161.470000000001
18,E05000128,Belsize,2016,14210.18
19,E05000129,Bloomsbury,2016,11458.64
20,E05000130,Camden Town with Primrose Hill,2016,13295.17
21,E05000131,Cantelowes,2016,13403.75
22,E05000132,Fortune Green,2016,12676.21
23,E05000133,Frognal and Fitzjohns,2016,13360.85
24,E05000134,Gospel Oak,2016,12480.02
25,E05000135,Hampstead Town,2016,12426.74
26,E05000136,Haverstock,2016,13808.57
27,E05000137,Highgate,2016,11868.34
28,E05000138,Holborn and Covent Garden,2016,14462.93
29,E05000139,Kentish Town,2016,14622.29
30,E05000140,Kilburn,2016,13349.25
31,E05000141,King's Cross,2016,11857.05
32,E05000142,Regent's Park,2016,13973.51
33,E05000143,St Pancras and Somers Town,2016,15888.14
34,E05000144,Swiss Cottage,2016,14368.41
35,E05000145,West Hampstead,2016,13497.41
36,E05000128,Belsize,2017,14308.59
37,E05000129,Bloomsbury,2017,11652.23
38,E05000130,Camden Town with Primrose Hill,2017,13368.98
39,E05000131,Cantelowes,2017,13337.699999999999
40,E05000132,Fortune Green,2017,12844.83
41,E05000133,Frognal and Fitzjohns,2017,13692.779999999999
42,E05000134,Gospel Oak,2017,12354.720000000001
43,E05000135,Hampstead Town,2017,12671.88
44,E05000136,Haverstock,2017,13843.23
45,E05000137,Highgate,2017,11811.970000000001
46,E05000138,Holborn and Covent Garden,2017,14795.64
47,E05000139,Kentish Town,2017,14664.13
48,E05000140,Kilburn,2017,13377.349999999999
49,E05000141,King's Cross,2017,12501.24
50,E05000142,Regent's Park,2017,14149.42
51,E05000143,St Pancras and Somers Town,2017,16260.75
52,E05000144,Swiss Cottage,2017,14782.13
53,E05000145,West Hampstead,2017,13776.05
54,E05000128,Belsize,2018,14554.4
55,E05000129,Bloomsbury,2018,11890.26
56,E05000130,Camden Town with Primrose Hill,2018,13503.9
57,E05000131,Cantelowes,2018,13734.33
58,E05000132,Fortune Green,2018,13192.06
59,E05000133,Frognal and Fitzjohns,2018,14127.59
60,E05000134,Gospel Oak,2018,12586.46
61,E05000135,Hampstead Town,2018,12973.960000000001
62,E05000136,Haverstock,2018,14160.22
63,E05000137,Highgate,2018,12000.58
64,E05000138,Holborn and Covent Garden,2018,15101.73
65,E05000139,Kentish Town,2018,15002.97
66,E05000140,Kilburn,2018,13644.53
67,E05000141,King's Cross,2018,13289.580000000002
68,E05000142,Regent's Park,2018,14513.0
69,E05000143,St Pancras and Somers Town,2018,16936.23
70,E05000144,Swiss Cottage,2018,15358.71
71,E05000145,West Hampstead,2018,14483.9
72,E05000128,Belsize,2019,14643.240000000003
73,E05000129,Bloomsbury,2019,11731.53
74,E05000130,Camden Town with Primrose Hill,2019,13512.090000000006
75,E05000131,Cantelowes,2019,13742.310000000007
76,E05000132,Fortune Green,2019,13153.060000000003
77,E05000133,Frognal and Fitzjohns,2019,14078.03
78,E05000134,Gospel Oak,2019,12840.82
79,E05000135,Hampstead Town,2019,13037.74
80,E05000136,Haverstock,2019,14035.789999999997
81,E05000137,Highgate,2019,12006.719999999998
82,E05000138,Holborn and Covent Garden,2019,15106.85
83,E05000139,Kentish Town,2019,15063.439999999995
84,E05000140,Kilburn,2019,14127.579999999996
85,E05000141,King's Cross,2019,13078.990000000003
86,E05000142,Regent's Park,2019,14650.31
87,E05000143,St Pancras and Somers Town,2019,17772.950000000004
88,E05000144,Swiss Cottage,2019,15263.419999999993
89,E05000145,West Hampstead,2019,14442.799999999994
90,E05000128,Belsize,2020,14704.670000000002
91,E05000129,Bloomsbury,2020,11689.129999999997
92,E05000130,Camden Town with Primrose Hill,2020,13536.910000000002
93,E05000131,Cantelowes,2020,13760.46
94,E05000132,Fortune Green,2020,13159.189999999997
95,E05000133,Frognal and Fitzjohns,2020,14116.99
96,E05000134,Gospel Oak,2020,12822.220000000003
97,E05000135,Hampstead Town,2020,13107.110000000002
98,E05000136,Haverstock,2020,13994.86
99,E05000137,Highgate,2020,11965.730000000005
100,E05000138,Holborn and Covent Garden,2020,15579.11
101,E05000139,Kentish Town,2020,15048.779999999997
102,E05000140,Kilburn,2020,14228.539999999992
103,E05000141,King's Cross,2020,12974.520000000004
104,E05000142,Regent's Park,2020,14467.749999999996
105,E05000143,St Pancras and Somers Town,2020,18132.17
106,E05000144,Swiss Cottage,2020,15372.39
107,E05000145,West Hampstead,2020,14523.810000000007
